Hypoxic volume 2;Hypoxic volume 0;T BY15 Annual. 30-90 m;T BY15 Q4. 30-90 m;BY15 Q4 salinitet 30_90m;Mean annual sal BY15 30_90 m ;Decade_ox;Cal_Year;O sat 30-90m BY15
;;;;;;1920s;1928;75.5580079973979
;;;;;;1920s;1929;
;;;;;;1930s;1930;74.4980798534697
;;;;;;1930s;1931;78.6389620553744
;;;;;;1930s;1932;69.7359448380239
;;;;;;1930s;1933;83.2568073078063
;;;;;;1930s;1934;
;;;;;;1930s;1935;
;;;;;;1930s;1936;78.3447219150172
;;;;;;1930s;1937;80.7397454861275
;;;;;;1930s;1938;84.6316455893695
;;;;;;1930s;1939;75.7823906783687
;;;;;;1940s;1940;
;;;;;;1940s;1941;
;;;;;;1940s;1942;
;;;;;;1940s;1943;
;;;;;;1940s;1944;
;;;;;;1940s;1945;
;;;;;;1940s;1946;
;;;;;;1940s;1947;
;;;;;;1940s;1948;
;;;;;;1940s;1949;
;;;;;;1950s;1950;
;;;;;;1950s;1951;
;;;;;;1950s;1952;
;;;;;;1950s;1953;
;;;;;;1950s;1954;
;;;;;;1950s;1955;68.6939908516483
;;;;;;1950s;1956;68.4411344658523
;;;;;;1950s;1957;92.8331387189044
;;;;;;1950s;1958;75.3339165835085
;;;;;;1950s;1959;75.9826397530715
1299;117;3.16720833333333;3.72380952380952;;;1960s;1960;66.4454592028085
;;4.9135238095238;7.06285714285713;;;1960s;1961;72.2833394512889
1850;45;4.42617103729604;5.848;;;1960s;1962;68.5801432624467
1850;252;3.15623214285714;4.17333333333333;8.29714285714286;8.29666666666667;1960s;1963;56.1705489675331
2238;298;3.27809005067812;4.27214285714286;8.66285714285714;8.56214285714286;1960s;1964;71.9034538198264
2698;406;3.71558928571428;4.73238095238095;8.48428571428571;8.40486486486486;1960s;1965;71.5660724011889
2454;144;4.21044444444444;5.04585714285714;8.75142857142857;8.84333333333334;1960s;1966;65.2122490666254
;;4.21080952380952;5.26190476190476;8.71571428571429;8.82619047619048;1960s;1967;64.8749666329909
2545;523;4.10482986975277;4.88816326530612;8.48357142857143;8.68628571428571;1960s;1968;61.8331974750017
2644;1102;3.75078031865314;5.26917965367965;8.41466666666667;8.0220202020202;1960s;1969;53.6495856702932
2508;306;3.62842610828968;4.85658163265306;8.69914285714286;8.22751639344262;1970s;1970;57.1034030655755
2310;379;4.11246216062182;5.37;8.08214285714286;8.67273809523809;1970s;1971;59.2705689221219
2445;695;3.88005389344695;4.84371428571428;8.46878571428572;8.58665306122449;1970s;1972;62.4336244301078
2508;217;4.86690646258503;6.05571428571428;;8.81174193548387;1970s;1973;63.7697325124176
2428;208;4.36791089466089;5.434715007215;9.382;8.97211111111111;1970s;1974;68.0351765868293
2121;379;4.97169242232635;6.15615419501134;8.13971428571429;8.42334285714286;1970s;1975;61.4584624842282
1957;81;3.84825920140783;5.0629231692677;8.32657142857143;8.39979411764706;1970s;1976;60.1353678613989
2049;63;4.26129715431303;5.85605163526949;8.58214285714286;9.04209677419355;1970s;1977;69.3501546623536
2356;208;4.13705117555797;5.2509088735827;8.95214285714286;8.91388571428571;1970s;1978;77.7213636910761
2238;316;3.46882152701221;5.43514450628736;8.72391666666667;8.50176923076923;1970s;1979;64.1658568771284
2572;560;3.59326707237673;5.50267833436405;8.81514285714286;8.85604761904762;1980s;1980;65.6900967699567
2310;424;3.60707734483192;4.87988073708504;8.87114285714286;8.82438095238095;1980s;1981;70.6441660094644
2012;704;3.86773080820278;5.4925850340136;8.19214285714286;8.43061224489796;1980s;1982;66.4842603504013
1679;424;4.13784837325618;5.30213224237063;8.21757142857143;8.46271428571429;1980s;1983;67.4226319134407
1281;253;4.37393481087527;6.1639039769754;8.52128571428571;8.49796428571428;1980s;1984;67.3027978757001
1336;181;3.33764929660708;4.64649638802889;8.20628571428571;8.62242857142857;1980s;1985;76.2708221606005
1805;298;3.11296058192709;4.2578018707483;8.03228571428571;8.22229166666667;1980s;1986;79.6983676127692
1634;351;3.03542462652785;4.71559089719803;7.90007142857143;8.10530612244898;1980s;1987;70.9656679433719
2040;478;3.95044093957075;5.81622626242804;7.90385714285714;8.14781632653061;1980s;1988;75.1544512690728
1643;370;4.29828145907534;5.2374542124542;7.48285714285714;7.69745238095238;1980s;1989;80.0226372019182
1435;370;5.2164431254072;6.84123293373293;7.81728571428572;7.77760714285714;1990s;1990;75.7273552865469
1236;307;5.05402141974047;6.2437898588368;7.60042857142857;7.7206;1990s;1991;84.6603072309238
1146;307;4.91705752431009;5.96850366300366;7.358;7.40971698113208;1990s;1992;79.6955677227079
722;217;4.26291505447075;5.13551458700964;7.58352380952381;7.59371428571429;1990s;1993;78.0124523279446
1227;18;3.80967926041364;5.38210228539576;7.73723076923077;7.68094666666667;1990s;1994;85.2989143382996
1309;45;4.49633816352111;6.13686744037536;7.68797142857143;7.74234246575342;1990s;1995;89.2349315170264
1940;189;3.56347230351965;4.65261255591099;7.865075;7.9093;1990s;1996;80.6408623778533
2220;188;4.01516723379795;4.96451548998849;7.9565;7.94857142857143;1990s;1997;79.5097966913977
2328;316;4.80843912072153;5.93115389501746;8.00878571428571;8.15210204081633;1990s;1998;78.442585023963
2301;623;4.49994985999304;5.67664312062797;8.04039285714286;8.22011560693642;1990s;1999;75.7158677234028
2193;704;4.55659016844406;5.9373362044284;7.84805;7.8446404494382;2000s;2000;64.5639797446687
2427;1390;4.96247415990736;6.8772181632653;8.09185714285714;8.13333333333333;2000s;2001;59.6184290198595
2238;1092;4.46424569222245;4.96882079869372;8.03503571428571;8.01477922077922;2000s;2002;70.0425359606491
2337;966;4.03983267433607;6.141829203941;8.42251219512195;8.08675287356322;2000s;2003;61.966835817381
2518;812;4.4694355926224;5.60523958958957;8.6065;8.41655617977528;2000s;2004;62.7664811482983
2590;1263;4.25778109753887;5.01324307688677;8.03071428571429;8.33487362637363;2000s;2005;68.1870564560057
2933;1309;4.20108294537532;5.10198938960719;8.42221428571429;8.52187222222222;2000s;2006;54.725956292853
2906;1218;5.38916823783288;6.54034384685304;8.74690476190476;8.62253333333333;2000s;2007;65.9082827427554
2644;1318;5.13821395376995;6.00190476190476;8.3725;8.37235359116023;2000s;2008;58.9682098173803
2644;1029;5.1827971636816;6.65380952380952;8.3007380952381;8.32397790055249;2000s;2009;57.9306179776635
2951;1300;4.77182229139793;5.86321581861612;8.36485714285714;8.68334615384615;2010s;2010;62.174616553549
3032;1733;4.20442498021982;5.67743022324849;8.19840476190476;8.43834586466166;2010s;2011;58.0370063796355
2572;1363;4.55587123673549;6.04940735752403;;8.40223076923077;2010s;2012;51.0103072463952
2833;1273;4.14048711629213;5.35960306689079;7.84811428571429;8.02810084033614;2010s;2013;58.0829236342098
2961;1660;4.5745075583265;6.12543735737169;8.10764285714286;8.02433333333333;2010s;2014;63.0524799157264
2924;1254;5.24867239887696;6.4852228757218;8.26830952380953;8.45567669172932;2010s;2015;61.4046903380347
2807;1489;5.18229890807425;6.15576198672102;8.81428571428571;8.42679047619047;2010s;2016;61.2330732592468
3000;1832;5.40944975899141;6.79805645136631;8.77;8.76392405063291;2010s;2017;62.8794261269919
3159;2130;4.80446745363368;5.95837334643061;8.39729166666667;8.48482352941176;2010s;2018;56.4873728891322
3240;2112;5.23893911326749;6.63340312889558;8.95057142857143;8.67142857142857;2010s;2019;60.1917068383266
2662;1615;6.60643336323396;8.65965062451247;8.27486206896552;8.82581147540984;2020s;2020;62.726010565917
